FoodName,FoodGroup,FoodSubGroup,PerServingHouseholdMeasure,CarbohydrateAmount_g,CholesterolAmount_mg,DietaryFibreAmount_g,EnergyAmount_kcal,GlycemicIndexAmount,ProteinAmount_g,SugarAmount_g,MonounsaturatedFatAmount_g,PolyunsaturatedFatAmount_g,SaturatedFatAmount_g,TotalFatAmount_g,Vegan,Vegetarian,Halal,ContainsBeef
"2-in-1 coffee powder, with creamer",BEVERAGES,Non-alcoholic beverages,Packet (12g),7.79,0.16,0.46,56.28,,0.82,1.28,0.33,0.04,1.95,2.44,False,False,False,False
"2-in-1 coffee powder, with sugar",BEVERAGES,Non-alcoholic beverages,Sachet (15g),13.28,,1.2,60.6,,0.87,10.17,0.06,0.17,0.2,0.45,True,True,True,False
3 in 1 ready to drink coffee instant,BEVERAGES,Non-alcoholic beverages,Can (240g),14.16,3.36,0.24,81.6,,2.4,14.16,0.34,0.05,1.3,1.92,False,False,False,False
3-in-1 cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),13.11,1.8,1.17,89.1,23.1,2.37,5.91,0.9,0.21,1.74,3.03,True,True,True,False
3-in-1 coffee powder,"MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Sachet (20g),9.31,0.5,0.0,65.4,,1.13,9.31,0.24,0.02,2.22,2.62,True,True,True,False
"3-in-1 coffee powder, less sugar, low fat (HCS)",HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Beverages and sweetened drinks,Packet (18g),14.74,0.0,0.54,73.19,,0.77,4.9,0.11,0.01,0.72,1.24,True,True,True,False
"3-in-1 coffee powder, low sugar",BEVERAGES,Non-alcoholic beverages,Sachet (17g),13.29,,0.6,74.63,,0.78,5.24,0.0,0.0,1.95,2.04,False,False,False,False
3-in-1 instant cereal (HCS),HEALTHIER CHOICE SYMBOL (HCS) PRODUCTS,Others,Packet (30g),12.06,0.0,1.68,79.2,,1.41,10.77,0.06,0.09,2.6,2.82,True,True,True,False
"3-in-1 tea, powder","MIXED ETHNIC DISHES, ANALYZED IN SINGAPORE",Beverages,Sachet (19g),9.92,1.14,0.61,58.33,,0.7,9.92,0.48,0.02,1.18,1.75,True,True,True,False
4 in 1 brown rice cereal,CEREAL AND CEREAL PRODUCTS,Breakfast cereals,Sachet (30g),24.99,0.0,1.11,126.0,,1.5,8.91,0.06,0.08,1.8,2.49,True,True,True,False
"6-Inch Hearty Italian Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (71g),37.0,0.0,2.0,205.19,,7.1,3.0,,,0.8,2.5,True,True,True,False
"6-Inch Honey Oat Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (80g),39.0,0.0,4.0,231.2,,8.8,7.0,0.72,1.28,0.56,2.9,True,True,True,False
"6-Inch Italian (white) Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (67g),34.0,0.0,2.0,192.29,,6.7,3.0,,,0.8,2.4,True,True,True,False
"6-Inch Parmesan Oregano Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (71g),36.0,0.0,2.0,205.9,,7.81,3.0,,,1.0,2.9,True,True,True,False
"6-Inch Wheat Bread, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (69g),32.0,0.0,3.0,189.75,,8.28,3.0,,,0.9,2.6,True,True,True,False
"6-inch Ham Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (216g),37.0,25.92,4.0,263.52,,17.28,7.0,2.03,0.56,1.6,4.6,True,True,True,False
"6-inch Italian BMT Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (228g),38.01,54.72,3.99,426.36,,22.8,7.0,8.83,2.45,8.3,20.0,True,True,True,False
"6-inch Meatball Marinara Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (339g),52.99,67.8,4.98,471.21,,20.34,10.98,5.33,4.99,8.0,20.0,True,True,True,False
"6-inch Oven Roasted Chicken Breast Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (230g),40.94,23.0,5.06,305.9,,23.0,5.98,1.86,1.5,1.61,5.29,True,True,True,False
"6-inch Roast Beef Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (210g),38.01,71.4,3.99,270.9,,18.9,6.01,0.64,0.91,1.7,4.49,True,True,True,False
"6-inch Spicy Italian Sandwich, Subway",FAST FOODS,All fast food outlets in alphabetical order,Whole (224g),38.08,62.72,5.0,497.28,,22.4,7.01,,,11.29,28.0,True,True,True,False
